DBMS_urnform,DBMS_common_name,field_name,upstream_raw_value,local_raw_value,upstream_normalized_value,local_normalized_value,difference_class,semantic_change,scientific_materiality,provenance_class,evidence,confidence
riak-ts,Riak TS,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
roma,ROMA,License_info,,GNU General Public License v3.0,<BLANK>,GNU General Public License v3.0,LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
serenity,Serenity,License_info,,Other,<BLANK>,Other,LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
serenity,Serenity,github_repo_id,,39335675,<BLANK>,39335675,REPO_ID_BLANK_TO_NUMERIC,YES,SEED_SELECTION_RELEVANT only if admitted; none of 32 are frozen seeds,UNRESOLVED_PROVENANCE,"Local numeric ID exists in the initial local materialization (009bd98a); link-consistent but no lookup response, manual record, or later upstream confirmation proves origin.",MEDIUM
shore-mt,Shore-MT,github_repo_id,,6433550,<BLANK>,6433550,REPO_ID_BLANK_TO_NUMERIC,YES,SEED_SELECTION_RELEVANT only if admitted; none of 32 are frozen seeds,UNRESOLVED_PROVENANCE,"Local numeric ID exists in the initial local materialization (009bd98a); link-consistent but no lookup response, manual record, or later upstream confirmation proves origin.",MEDIUM
shsql,shsql,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
siaqodb,Siaqodb,License_info,,MIT License,<BLANK>,MIT License,LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
skeletondb,SkeletonDB,github_repo_id,,63439550,<BLANK>,63439550,REPO_ID_BLANK_TO_NUMERIC,YES,SEED_SELECTION_RELEVANT only if admitted; none of 32 are frozen seeds,UNRESOLVED_PROVENANCE,"Local numeric ID exists in the initial local materialization (009bd98a); link-consistent but no lookup response, manual record, or later upstream confirmation proves origin.",MEDIUM
speedy,Speedy,License_info,,-,<BLANK>,-,LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
speedy,Speedy,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
sqljs,SQL.JS,License_info,,Other,<BLANK>,Other,LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
srch2,SRCH²,github_repo_id,,49683870,<BLANK>,49683870,REPO_ID_BLANK_TO_NUMERIC,YES,SEED_SELECTION_RELEVANT only if admitted; none of 32 are frozen seeds,UNRESOLVED_PROVENANCE,"Local numeric ID exists in the initial local materialization (009bd98a); link-consistent but no lookup response, manual record, or later upstream confirmation proves origin.",MEDIUM
stonedb,StoneDB,License_info,,GNU General Public License v2.0,<BLANK>,GNU General Public License v2.0,LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
strixdb,StrixDB,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
strozzi-nosql,Strozzi NoSQL,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
thrudb,ThruDB,github_repo_id,,55892,<BLANK>,55892,REPO_ID_BLANK_TO_NUMERIC,YES,SEED_SELECTION_RELEVANT only if admitted; none of 32 are frozen seeds,UNRESOLVED_PROVENANCE,"Local numeric ID exists in the initial local materialization (009bd98a); link-consistent but no lookup response, manual record, or later upstream confirmation proves origin.",MEDIUM
tieredmemdb,TieredMemDB,License_info,,"BSD 3-Clause ""New"" or ""Revised"" License",<BLANK>,"BSD 3-Clause ""New"" or ""Revised"" License",LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
tieredmemdb,TieredMemDB,github_repo_id,,415886839,<BLANK>,415886839,REPO_ID_BLANK_TO_NUMERIC,YES,SEED_SELECTION_RELEVANT only if admitted; none of 32 are frozen seeds,UNRESOLVED_PROVENANCE,"Local numeric ID exists in the initial local materialization (009bd98a); link-consistent but no lookup response, manual record, or later upstream confirmation proves origin.",MEDIUM
tile38,Tile38,github_repo_id,,53171300,<BLANK>,53171300,REPO_ID_BLANK_TO_NUMERIC,YES,SEED_SELECTION_RELEVANT only if admitted; none of 32 are frozen seeds,UNRESOLVED_PROVENANCE,"Local numeric ID exists in the initial local materialization (009bd98a); link-consistent but no lookup response, manual record, or later upstream confirmation proves origin.",MEDIUM
timber,TIMBER,License_info,,-,<BLANK>,-,LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
timber,TIMBER,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
tinysql,tinySQL,License_info,,-,<BLANK>,-,LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
tinysql,tinySQL,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
titan-nosql,Titan,github_repo_id,,157514605,<BLANK>,157514605,REPO_ID_BLANK_TO_NUMERIC,YES,SEED_SELECTION_RELEVANT only if admitted; none of 32 are frozen seeds,UNRESOLVED_PROVENANCE,"Local numeric ID exists in the initial local materialization (009bd98a); link-consistent but no lookup response, manual record, or later upstream confirmation proves origin.",MEDIUM
tokumx,TokuMX,github_repo_id,,8729689,<BLANK>,8729689,REPO_ID_BLANK_TO_NUMERIC,YES,SEED_SELECTION_RELEVANT only if admitted; none of 32 are frozen seeds,UNRESOLVED_PROVENANCE,"Local numeric ID exists in the initial local materialization (009bd98a); link-consistent but no lookup response, manual record, or later upstream confirmation proves origin.",MEDIUM
unqlite,UnQLite,License_info,,Other,<BLANK>,Other,LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
vertexdb,VertexDB,License_info,,Other,<BLANK>,Other,LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
viyadb,ViyaDB,github_repo_id,,104114230,<BLANK>,104114230,REPO_ID_BLANK_TO_NUMERIC,YES,SEED_SELECTION_RELEVANT only if admitted; none of 32 are frozen seeds,UNRESOLVED_PROVENANCE,"Local numeric ID exists in the initial local materialization (009bd98a); link-consistent but no lookup response, manual record, or later upstream confirmation proves origin.",MEDIUM
wakandadb,WakandaDB,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
webscalesql,WebScaleSQL,github_repo_id,,13887383,<BLANK>,13887383,REPO_ID_BLANK_TO_NUMERIC,YES,SEED_SELECTION_RELEVANT only if admitted; none of 32 are frozen seeds,UNRESOLVED_PROVENANCE,"Local numeric ID exists in the initial local materialization (009bd98a); link-consistent but no lookup response, manual record, or later upstream confirmation proves origin.",MEDIUM
