numeric_claim_id,section,line_or_table,exact_text,numeric_tokens,claim_class,frozen_authority,authority_key_or_row,display_transform,verification_status,notes
"QNUM0162","#### 3.2.2 引用抽取流程","line 162","5. **标准化转换**：将抽取结果整理为结构化 Reference 记录，保留征引实体、被引实体、引用类型、时间戳、触发事件和仓库上下文等元数据；","5","METHOD_CONFIGURATION","configs/ch5_reference_quotient_p0_v3.yaml","study_year;activity_threshold;window_start;window_end","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0163","#### 3.2.2 引用抽取流程","line 163","6. **关系补全与 quotient construction 适配**：基于引用上下文补全实体属性，并为后续 membership-induced graph coarsening 生成可聚合字段。","6","METHOD_CONFIGURATION","configs/ch5_reference_quotient_p0_v3.yaml","study_year;activity_threshold;window_start;window_end","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0166","#### 3.2.3 数据来源、分析口径与研究问题对应关系","line 166","#### 3.2.3 数据来源、分析口径与研究问题对应关系","3.2;3","NON_SCIENTIFIC_FORMATTING","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0174","#### 3.2.3 数据来源、分析口径与研究问题对应关系","line 174","| 种子 DBMS 项目样本 | 294 个项目 | 基于领域、许可证和活跃度条件筛选，并纳入 2023 年协作日志观测窗口 | 征引侧样本、项目级描述统计、自引率和子领域比较 | RQ1/RQ2a/RQ3 | 是 | 仅表示征引侧种子，不等同于网络全部节点 |","294;2023","METHOD_CONFIGURATION","configs/ch5_reference_quotient_p0_v3.yaml","study_year;activity_threshold;window_start;window_end","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0175","#### 3.2.3 数据来源、分析口径与研究问题对应关系","line 175","| Scanned / admitted Reference records | 3,748,078 scanned；3,747,958 admitted | 从 294 个种子项目协作日志中经 GH_CoRE 抽取、source-admission、校验和标准化得到 | 引用类型分布、协作互动强度、external-reference orientation 和部分子领域比较 | RQ1；部分 RQ3 | 是 | scanned input 与 admitted observation 分开报告；限于 GitHub 可观测显式或半结构化 Reference |","3,748,078;3,747,958;294","METHOD_CONFIGURATION","outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json","scanned_input_rows;retained_reference_records;quotient_eligible_records;refq_node_domain;refq_directed_edges_including_self_loops;refq_directed_cross_project_edges;lcc_nodes;lcc_edges;directed_cross_project_edges_lcc_sensitivity","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0176","#### 3.2.3 数据来源、分析口径与研究问题对应关系","line 176","| Project-level RefQN | 6,506 个节点域；6,505 个 edge-observed nodes；9,884 条有向边（含 289 条自环）；9,595 条跨项目边 | 将 1,586,047 条 project-mappable Reference records 按 artifact-to-project membership coarsening 为 weighted directed quotient network | source-role（含 seed-to-seed / seed-to-expanded）、target-role、项目级 RefQ 有向结构 | RQ2a/RQ2b | 是 | 包含种子项目及被引扩展节点，不是仅含 294 节点的诱导子图；source 完整观测仅限 294 个种子项目 |","6,506;6,505;9,884;289;9,595;1,586,047;294","METHOD_CONFIGURATION","outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json","scanned_input_rows;retained_reference_records;quotient_eligible_records;refq_node_domain;refq_directed_edges_including_self_loops;refq_directed_cross_project_edges;lcc_nodes;lcc_edges;directed_cross_project_edges_lcc_sensitivity","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0177","#### 3.2.3 数据来源、分析口径与研究问题对应关系","line 177","| RefQN 最大连通子图 | 6,367 个节点；9,462 条无向去重边；9,510 条有向敏感性边 | 从 Project-level RefQN 的无向派生结构视图中提取用于聚类系数、Louvain 算法社区检测和结构位置分析的连通子图 | 聚类、Louvain 算法社区检测和 structural brokerage candidate 分析 | RQ2c | 是 | 主文以无向去重主口径解释，有向边仅作敏感性核查；无向视图是一阶无向视图，不是共享引用投影 |","6,367;9,462;9,510","METHOD_CONFIGURATION","outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json","scanned_input_rows;retained_reference_records;quotient_eligible_records;refq_node_domain;refq_directed_edges_including_self_loops;refq_directed_cross_project_edges;lcc_nodes;lcc_edges;directed_cross_project_edges_lcc_sensitivity","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0178","#### 3.2.3 数据来源、分析口径与研究问题对应关系","line 178","| 子领域标签与项目级指标 | 见正文 4.3 节和表 4.7、表 4.8 | 基于种子项目子领域标签、引用类型、项目级网络特征和项目年龄关联变量整理 | 子领域差异、项目级网络特征和横截面年龄关联比较 | RQ3 | 是 | 混合标签、多标签项目、样本规模差异和多重检验影响解释 |","4.3;4.7;4.8","METHOD_CONFIGURATION","configs/ch5_reference_quotient_p0_v3.yaml","study_year;activity_threshold;window_start;window_end","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0179","#### 3.2.3 数据来源、分析口径与研究问题对应关系","line 179","| 附录 A reproducibility and boundary record | 见附录 A.1-A.4 | 基于 reproducibility identity、membership/observation records、analysis-to-RQ mapping 和 statistical/semantic boundaries 整理 | 支撑可追溯性与解释边界 | 支撑 RQ1/RQ2a/RQ2b/RQ2c/RQ3 | 补充 | 不改变主文 reported results |","1;4","METHOD_CONFIGURATION","configs/ch5_reference_quotient_p0_v3.yaml","study_year;activity_threshold;window_start;window_end","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0181","### 3.3 度量指标与统计分析","line 181","### 3.3 度量指标与统计分析","3.3","NON_SCIENTIFIC_FORMATTING","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0183","#### 3.3.1 描述性指标体系","line 183","#### 3.3.1 描述性指标体系","3.3;1","NON_SCIENTIFIC_FORMATTING","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0186","#### 3.3.1 描述性指标体系","line 186","1. **引用实体分布维度**：","1","METHOD_CONFIGURATION","configs/ch5_reference_quotient_p0_v3.yaml","study_year;activity_threshold;window_start;window_end","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0190","#### 3.3.1 描述性指标体系","line 190","2. **协作互动强度维度**：","2","METHOD_CONFIGURATION","configs/ch5_reference_quotient_p0_v3.yaml","study_year;activity_threshold;window_start;window_end","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0191","#### 3.3.1 描述性指标体系","line 191","- **自引率（Self-Reference Ratio）**：项目自引用次数占总引用数的比例（自引率 = 项目自引用次数 / 项目总引用次数 × 100%），度量项目内部 Reference context 的集中程度；","100%","METHOD_CONFIGURATION","configs/ch5_reference_quotient_p0_v3.yaml","study_year;activity_threshold;window_start;window_end","PERCENT_X100_ROUND_2","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0196","#### 3.3.1 描述性指标体系","line 196","3. **External-reference orientation 维度**：","3","METHOD_CONFIGURATION","configs/ch5_reference_quotient_p0_v3.yaml","study_year;activity_threshold;window_start;window_end","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0197","#### 3.3.1 描述性指标体系","line 197","- **外部 Reference 指向比例（External Reference Ratio / External-reference Share）**：外部资源引用次数占总引用数的比例（外引比例 = 外部引用次数 / 总引用次数 × 100%），只度量可观测 Reference evidence 中外部对象所占比例，不直接测量 dependency、组织开放性或 innovation openness；","100%","METHOD_CONFIGURATION","configs/ch5_reference_quotient_p0_v3.yaml","study_year;activity_threshold;window_start;window_end","PERCENT_X100_ROUND_2","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0198","#### 3.3.1 描述性指标体系","line 198","- **项目年龄关联特征（Project-age-related Characteristics）**：考察外引比例、自引率和引用类型分布等指标与项目年龄之间的横截面关联，并比较不同项目年龄区间的描述性差异。单一 2023 年观测窗口不构成 longitudinal design。","2023","METHOD_CONFIGURATION","configs/ch5_reference_quotient_p0_v3.yaml","study_year;activity_threshold;window_start;window_end","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0200","#### 3.3.2 网络拓扑分析指标","line 200","#### 3.3.2 网络拓扑分析指标","3.3;2","NON_SCIENTIFIC_FORMATTING","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0204","#### 3.3.2 网络拓扑分析指标","line 204","1. **Source-role 指标**：","1","METHOD_CONFIGURATION","configs/ch5_reference_quotient_p0_v3.yaml","study_year;activity_threshold;window_start;window_end","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0210","#### 3.3.2 网络拓扑分析指标","line 210","2. **Target-role 指标**：","2","METHOD_CONFIGURATION","configs/ch5_reference_quotient_p0_v3.yaml","study_year;activity_threshold;window_start;window_end","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0213","#### 3.3.2 网络拓扑分析指标","line 213","- target coverage 等于 in-degree 除以 294；","294","METHOD_CONFIGURATION","configs/ch5_reference_quotient_p0_v3.yaml","study_year;activity_threshold;window_start;window_end","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0216","#### 3.3.2 网络拓扑分析指标","line 216","3. **Undirected structural-view 指标**：","3","METHOD_CONFIGURATION","configs/ch5_reference_quotient_p0_v3.yaml","study_year;activity_threshold;window_start;window_end","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0219","#### 3.3.2 网络拓扑分析指标","line 219","- Louvain algorithmic communities 与 modularity 描述当前无向视图和 modularity objective 下的算法分区 [@blondel2008louvain; @newman2006modularity]；","008;006","METHOD_CONFIGURATION","outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json","random_seed;algorithmic_communities;modularity;operator_order","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0220","#### 3.3.2 网络拓扑分析指标","line 220","- approximate betweenness 以固定 500-node sample 和 random seed 计算，只作为 structural brokerage candidate 指标。","500","METHOD_CONFIGURATION","outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json","brokerage_sample_size;brokerage_method","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0224","#### 3.3.3 统计分析方法","line 224","#### 3.3.3 统计分析方法","3.3;3","NON_SCIENTIFIC_FORMATTING","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0228","#### 3.3.3 统计分析方法","line 228","1. **描述性统计**：对项目级 Reference profiles、source-role、target-role 和 local-structure features 报告计数、均值、中位数、标准差、四分位数及必要的偏度和峰度。实体类型表只报告 global count 与 share。","1","METHOD_CONFIGURATION","configs/ch5_reference_quotient_p0_v3.yaml","study_year;activity_threshold;window_start;window_end","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0230","#### 3.3.3 统计分析方法","line 230","2. **项目年龄横截面关联**：使用 Spearman correlation 检验项目年龄与 self-reference ratio、external-reference share、non-project reference share 和 comment reference density 的单调关联。项目年龄按 2023 年末计算，设计标记为 cross-sectional 2023。","2;2023","METHOD_CONFIGURATION","configs/ch5_reference_quotient_p0_v3.yaml","study_year;activity_threshold;window_start;window_end","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0232","#### 3.3.3 统计分析方法","line 232","3. **子领域组间比较**：对 Reference composition、RefQ source/target role、local clustering、approximate betweenness 和 project age 使用 Kruskal-Wallis test，报告 epsilon-squared effect size，并在每种标签口径内进行 Benjamini-Hochberg FDR correction [@kruskal1952ranks; @benjamini1995fdr]。","3;952;995","METHOD_CONFIGURATION","outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json","brokerage_sample_size;brokerage_method","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0234","#### 3.3.3 统计分析方法","line 234","4. **多标签敏感性**：include_mixed 允许同一项目按多个 category labels 重复计入；exclude_mixed_or_multilabel 只保留单一标签项目。只有在两种口径下都通过 FDR correction 的结果才可称为跨标签处理口径稳健；仅在一种口径下达到阈值的结果标记为 label-mode sensitive。","4","METHOD_CONFIGURATION","configs/ch5_reference_quotient_p0_v3.yaml","study_year;activity_threshold;window_start;window_end","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0236","#### 3.3.3 统计分析方法","line 236","5. **解释边界**：不以 p-value 单独宣称 substantive difference，不将 cross-sectional age association 写成演化，不将 algorithmic communities 写成 semantic DBMS communities，也不通过人为 rounding 改变统计结果。","5","METHOD_CONFIGURATION","configs/ch5_reference_quotient_p0_v3.yaml","study_year;activity_threshold;window_start;window_end","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0238","### 3.4 Reference Quotient Network 构建","line 238","### 3.4 Reference Quotient Network 构建","3.4","NON_SCIENTIFIC_FORMATTING","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0240","#### 3.4.1 细粒度 Reference 图与项目可映射子域","line 240","#### 3.4.1 细粒度 Reference 图与项目可映射子域","3.4;1","NON_SCIENTIFIC_FORMATTING","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0262","#### 3.4.1 细粒度 Reference 图与项目可映射子域","line 262","其中 \(V_R^{obs}\) 为观测窗口内出现的细粒度实体或资源，\(E_R^{obs}\subseteq V_R^{obs}\times V_R^{obs}\) 为可追溯 Reference relations，\(w_R(u,v)\) 表示在本文规定的证据保留与去重规则下从 \(u\) 指向 \(v\) 的 Reference 权重。由于 source Reference evidence 来自 294 个分析 seed DBMS projects 的 GitHub 协作日志，该图是 seed-centered observed graph，而不是完整 GitHub/OSS ecosystem graph。","294","METHOD_CONFIGURATION","configs/ch5_reference_quotient_p0_v3.yaml","study_year;activity_threshold;window_start;window_end","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0287","#### 3.4.2 Membership partition 与 graph coarsening","line 287","#### 3.4.2 Membership partition 与 graph coarsening","3.4;2","NON_SCIENTIFIC_FORMATTING","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0302","#### 3.4.2 Membership partition 与 graph coarsening","line 302","该 partition 来源于实体所属项目的语义归属关系，而不是社区算法、共享邻居、结构相似度或 partition-learning 过程。Loukas 所讨论的 many-to-one coarsening map、contraction sets 和 induced partition 为这一图粗化语言提供数学背景；其 coarsening framework 还进一步包含 contraction-set 的 connectivity/locality 条件。本文仅借用 many-to-one coarse-graining、contraction-set 与 induced-partition 语言；artifact-to-project membership blocks 由外部语义归属确定，本文不要求其满足 Loukas 意义下的 locality condition [@loukas2019graphreduction]。因此，RefQ 的精确定义以 semantic membership partition 上的 block aggregation / quotient construction 为准：首先根据 artifact-to-project membership mapping 形成 partition，然后聚合不同 block 之间的有向 Reference 权重，而不把本文的 membership blocks 写成 Loukas-specific coarsening assumptions 的实例。","019","METHOD_CONFIGURATION","configs/ch5_reference_quotient_p0_v3.yaml","study_year;activity_threshold;window_start;window_end","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0303","#### 3.4.3 Reference Quotient 的形式化定义","line 303","#### 3.4.3 Reference Quotient 的形式化定义","3.4;3","NON_SCIENTIFIC_FORMATTING","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0313","#### 3.4.3 Reference Quotient 的形式化定义","line 313","若 \(q_{ab}>0\)，则在项目级网络中形成有向 RefQ relation：","0","METHOD_CONFIGURATION","configs/ch5_reference_quotient_p0_v3.yaml","study_year;activity_threshold;window_start;window_end","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0321","#### 3.4.3 Reference Quotient 的形式化定义","line 321","定义 \(R_P\) 为 project-mappable fine-grained Reference adjacency matrix，定义 \(M\in\{0,1\}^{|V_P|\times |P|}\) 为 membership matrix，其中：","0,1","METHOD_CONFIGURATION","configs/ch5_reference_quotient_p0_v3.yaml","study_year;activity_threshold;window_start;window_end","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0326","#### 3.4.3 Reference Quotient 的形式化定义","line 326","1,&\pi(i)=p\\","1,","METHOD_CONFIGURATION","configs/ch5_reference_quotient_p0_v3.yaml","study_year;activity_threshold;window_start;window_end","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0327","#### 3.4.3 Reference Quotient 的形式化定义","line 327","0,&\text{otherwise}.","0,","METHOD_CONFIGURATION","configs/ch5_reference_quotient_p0_v3.yaml","study_year;activity_threshold;window_start;window_end","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0331","#### 3.4.3 Reference Quotient 的形式化定义","line 331","等价地，membership matrix \(M\) 的每一行恰有一个值为 1 的项目归属项：","1","METHOD_CONFIGURATION","configs/ch5_reference_quotient_p0_v3.yaml","study_year;activity_threshold;window_start;window_end","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0336","#### 3.4.3 Reference Quotient 的形式化定义","line 336","\sum_{p\in P}M_{ip}=1","1","METHOD_CONFIGURATION","configs/ch5_reference_quotient_p0_v3.yaml","study_year;activity_threshold;window_start;window_end","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0340","#### 3.4.3 Reference Quotient 的形式化定义","line 340","与 quotient-network 文献中的 partition characteristic-matrix aggregation 在结构上相应，本文根据 Reference evidence multiplicity 的计数语义，采用未归一化 block-sum；Sánchez-García 所讨论的 normalized quotient form 与 unnormalized compression form 提供了数学邻近背景，但不定义本文的 relation semantics [@sanchezgarcia2020quotientnetwork]。则项目级 Reference Quotient matrix 为：","020","METHOD_CONFIGURATION","configs/ch5_reference_quotient_p0_v3.yaml","study_year;activity_threshold;window_start;window_end","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0358","#### 3.4.4 Project-level RefQN 与观测边界","line 358","#### 3.4.4 Project-level RefQN 与观测边界","3.4;4","NON_SCIENTIFIC_FORMATTING","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0359","#### 3.4.4 Project-level RefQN 与观测边界","line 359","在本文实例中，Project-level RefQN 的 source observation set 为 294 个 analysis seed DBMS projects。被这些 seed projects 指向、且能够可靠映射到 GitHub repository/project 的对象进入 expanded target projects。因此，当前 RefQN 是 seed-centered observed Reference Quotient Network，而不是对所有节点 source behavior 都完整观测的封闭生态网络。","294","METHOD_CONFIGURATION","configs/ch5_reference_quotient_p0_v3.yaml","study_year;activity_threshold;window_start;window_end","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0363","#### 3.4.4 Project-level RefQN 与观测边界","line 363","- **analysis seed project**：通过 DBMS 领域、许可证和活跃度条件筛选得到，并被实际爬取 GitHub 协作日志的 294 个开源 DBMS 项目；","294","METHOD_CONFIGURATION","configs/ch5_reference_quotient_p0_v3.yaml","study_year;activity_threshold;window_start;window_end","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0364","#### 3.4.4 Project-level RefQN 与观测边界","line 364","- **referenced project / observable target project**：在 294 个 seed projects 的 Reference records 中被解析为 GitHub repository/project 的项目；","294","METHOD_CONFIGURATION","configs/ch5_reference_quotient_p0_v3.yaml","study_year;activity_threshold;window_start;window_end","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0365","#### 3.4.4 Project-level RefQN 与观测边界","line 365","- **expanded project node**：Project-level RefQN 中的项目级节点，包括 294 个 seed projects 以及被这些 seed projects 指向的其他 GitHub projects；","294","METHOD_CONFIGURATION","configs/ch5_reference_quotient_p0_v3.yaml","study_year;activity_threshold;window_start;window_end","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0368","#### 3.4.4 Project-level RefQN 与观测边界","line 368","自环在一般 RefQ 定义中具有明确含义：若 \(Q_{aa}>0\)，表示项目 \(a\) 内部的细粒度实体之间存在保留的 Reference evidence。self-reference behavior 可以在 RQ1 中保留并单独统计；cross-project topology 可以按预先规定的分析配置移除 self-loop；是否删除 self-loop 是分析视图选择，不改变 RefQ 的一般定义。","0","METHOD_CONFIGURATION","configs/ch5_reference_quotient_p0_v3.yaml","study_year;activity_threshold;window_start;window_end","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0370","#### 3.4.4 Project-level RefQN 与观测边界","line 370","该 quotient construction 确保本文将“294 个 analysis seed projects”“3,747,958 条 admitted source-observation Reference records”“6,506 个 Project-level RefQN 节点域”“6,505 个 edge-observed 节点”和“6,367 个最大连通子图节点”区分开来。完整 Project-level RefQN 的有向表包含 9,884 条边，其中 289 条为 self-loops，跨项目边表包含 9,595 条边；无向派生视图包含 9,547 条边，LCC 主口径包含 6,367 个节点和 9,462 条边，LCC directed sensitivity 口径包含 9,510 条边。RQ2c 的模块度使用当前分析输出中的值，并明确与 RefQ matrix \(Q=M^\top R_PM\) 区分。","294;3,747,958;6,506;6,505;6,367;9,884;289;9,595;9,547;9,462;9,510","METHOD_CONFIGURATION","outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json","scanned_input_rows;retained_reference_records;quotient_eligible_records;refq_node_domain;refq_directed_edges_including_self_loops;refq_directed_cross_project_edges;lcc_nodes;lcc_edges;directed_cross_project_edges_lcc_sensitivity","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0372","## 4 结果","line 372","## 4 结果","4","NON_SCIENTIFIC_FORMATTING","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0374","## 4 结果","line 374","本节按 RQ1、RQ2a、RQ2b、RQ2c 和 RQ3 的结构组织实证结果。RQ1 以种子 DBMS 项目的有效直接 Reference 记录为基础，分析征引实体、被引实体、自引用、协作指标和 external-reference orientation，而不是扩展网络全部节点；RQ2a 聚焦征引侧 source-role，即 294 个分析种子项目的 out-degree、out-strength、主动引用范围和 seed-to-seed / seed-to-expanded RefQ relations 差异；RQ2b 聚焦被引侧 target-role，即全部可识别目标项目的 in-degree、in-strength、覆盖率和集中结构；RQ2c 聚焦由直接有向引用关系派生出的无向结构视图，用于连通性、局部聚集、Louvain 算法社区结构和 structural brokerage 候选分析，且不构建 shared-reference projection；RQ3 以种子项目的子领域标签、引用类型、项目级网络特征和项目年龄关联变量为基础，重点考察局部性与非均质性差异。","294","SCIENTIFIC_RESULT","outputs/reference_quotient_p0_corrected_v3/seed_observability_audit.json","seed_count;expanded_target_count;expanded_targets_are_source_complete","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0376","### 4.1 RQ1：细粒度 Reference behavior、协作互动与外部 Reference 指向","line 376","### 4.1 RQ1：细粒度 Reference behavior、协作互动与外部 Reference 指向","4.1","NON_SCIENTIFIC_FORMATTING","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0378","#### 4.1.1 引用类型分布特征与 Reference evidence composition","line 378","#### 4.1.1 引用类型分布特征与 Reference evidence composition","4.1;1","NON_SCIENTIFIC_FORMATTING","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0379","#### 4.1.1 引用类型分布特征与 Reference evidence composition","line 379","基于 294 个种子 DBMS 项目的 GitHub 协作日志，本文在 source-admission 后保留 3,747,958 条 admitted source-observation Reference records。本节从征引实体、被引实体与自引用比例三个维度考察 fine-grained Reference behavior：征引端刻画 Reference 从哪些协作场景发起，被引端刻画 Reference 指向哪些对象，自引用则刻画项目内部 Reference 与外部 Reference 之间的证据构成。总体来看，DBMS Reference evidence 同时表现为讨论驱动、外部资源指向和项目间比例差异。表 4.1 与表 4.2 报告完整 fine-grained entity distribution。","294;3,747,958;4.1;4.2","SCIENTIFIC_RESULT","outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json","scanned_input_rows;retained_reference_records;quotient_eligible_records","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0381","#### 4.1.1 引用类型分布特征与 Reference evidence composition","line 381","1. **征引实体分布：协作讨论驱动的引用来源**","1","SCIENTIFIC_RESULT","outputs/reference_quotient_p0_corrected_v3/manifest.json","status;manifest_sha256;config_sha256","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0383","#### 4.1.1 引用类型分布特征与 Reference evidence composition","line 383","征引实体分布回答“Reference 从何处发起”的问题。表 4.1 不再把未单列事件合并为“其他”，而是完整保留冻结输出中的事件类型行。","4.1","SCIENTIFIC_RESULT","outputs/reference_quotient_p0_corrected_v3/manifest.json","status;manifest_sha256;config_sha256","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0385","#### 4.1.1 引用类型分布特征与 Reference evidence composition","line 385","**表 4.1 征引实体类型分布统计**","4.1","NON_SCIENTIFIC_FORMATTING","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0389","#### 4.1.1 引用类型分布特征与 Reference evidence composition","line 389","| IssueComment | 1,816,696 | 48.47% |","1,816,696;48.47%","SCIENTIFIC_RESULT","outputs/reference_quotient_p0_corrected_v3/rq1_referencing_entity_distribution.csv","event_type;count;share","PERCENT_X100_ROUND_2","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0390","#### 4.1.1 引用类型分布特征与 Reference evidence composition","line 390","| Push | 1,165,990 | 31.11% |","1,165,990;31.11%","SCIENTIFIC_RESULT","outputs/reference_quotient_p0_corrected_v3/rq1_referencing_entity_distribution.csv","event_type;count;share","PERCENT_X100_ROUND_2","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0391","#### 4.1.1 引用类型分布特征与 Reference evidence composition","line 391","| PullRequest | 335,530 | 8.95% |","335,530;8.95%","SCIENTIFIC_RESULT","outputs/reference_quotient_p0_corrected_v3/rq1_referencing_entity_distribution.csv","event_type;count;share","PERCENT_X100_ROUND_2","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0392","#### 4.1.1 引用类型分布特征与 Reference evidence composition","line 392","| Issue | 168,876 | 4.51% |","168,876;4.51%","SCIENTIFIC_RESULT","outputs/reference_quotient_p0_corrected_v3/rq1_referencing_entity_distribution.csv","event_type;count;share","PERCENT_X100_ROUND_2","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0393","#### 4.1.1 引用类型分布特征与 Reference evidence composition","line 393","| Release | 96,690 | 2.58% |","96,690;2.58%","SCIENTIFIC_RESULT","outputs/reference_quotient_p0_corrected_v3/rq1_referencing_entity_distribution.csv","event_type;count;share","PERCENT_X100_ROUND_2","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
